rank,username,ptcg_id,area,points
590,CLG_HoHo,tw53198253,臺中市,0pt
591,Camus,tw66520026,新竹縣,0pt
592,ChenLi_Kibana,tw69538820,高雄市,0pt
593,DCG_tsa1,tw58859352,新北市,0pt
594,Depp,tw41643160,桃園市,0pt
595,Foty,tw63569554,臺北市,0pt
596,Kevinkod,tw81021249,其它地區,0pt
597,KiD,tw15667547,臺南市,0pt
598,Qttsix&hennie_IC,tw10136616,臺中市,0pt
599,Rehorn,tw58835877,基隆市,0pt
600,SeverusGuo,tw38140274,基隆市,0pt
601,Sony,tw64598660,高雄市,0pt
602,TC_Brian,tw08055670,新竹縣,0pt
603,Taco,tw63205160,新北市,0pt
604,TiM-N1ARK,tw19291467,高雄市,0pt
605,Tyrunt_ED,tw24479626,桃園市,0pt
606,flybear132,tw02172047,臺北市,0pt
607,ksfantasy,tw33097520,新竹縣,0pt
608,ocean7024,tw28285341,新竹縣,0pt
609,roger606,tw09188186,臺南市,0pt
